fullname,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Work hard! Play hard!,521669673,Kody,THIRD WARD,42.6586,-73.75743,entire home/apt,103.0,3,2024-12-21,0.13,3,248,1
Newly Renovated Gem in Melrose - Pet Friendly,441054845,Thaddeus,THIRTEENTH WARD,42.67066,-73.79571,entire home/apt,63.0,67,2025-05-22,2.95,2,180,38
Hudson 2 at The Argus Hotel,526358730,Argus,SIXTH WARD,42.65867,-73.77479,private room,165.0,2,2023-12-31,0.09,12,233,0
Colorful and eclectic apartment,132766782,Kelly,TWELFTH WARD,42.67398,-73.79126,entire home/apt,162.0,9,2025-02-17,0.65,1,268,7
A beautiful cozy home,529844022,Shirin,FIRST WARD,42.63855,-73.76927,entire home/apt,93.0,0,2025-05-18,1.255,1,0,0
"2 bedroom+home office, private parking & backyard",217254883,Ermenita,NINTH WARD,42.6549886,-73.79390939999999,entire home/apt,126.0,118,2025-05-21,5.36,1,88,60
Comfy studio in heart of Albany,189586864,Justin,SIXTH WARD,42.65241,-73.77002,entire home/apt,89.0,100,2025-05-30,4.61,1,352,66
Historic Brownstone in Downtown Albany,533703131,Abel,THIRD WARD,42.65665876086533,-73.74939680099487,entire home/apt,93.0,6,2025-05-10,2.9,1,0,6
"Modern 2-bed Apt / Hospitals, SUNY, State Office",374765317,Tanjin,FIFTEENTH WARD,42.67059,-73.81678,entire home/apt,136.0,21,2025-01-01,1.01,1,144,14
Chic Madison Parkview,241123402,JShing,SIXTH WARD,42.65312775001394,-73.76950465142727,entire home/apt,91.0,25,2025-05-28,1.24,1,300,14
The House That Pat Built,114183978,Tyrell,FIFTH WARD,42.66628,-73.76512,entire home/apt,116.0,4,2024-04-18,0.2,1,76,0
Modern 1BR in a great location,75667477,Ahmad,THIRD WARD,42.65515515851637,-73.76052582647431,entire home/apt,77.0,7,2025-04-20,0.34,1,218,5
"Beautiful  5 bedrm , 3.5 bathroom, private parking",476189412,Timothy,SEVENTH WARD,42.64485687096462,-73.77281881169621,entire home/apt,222.0,9,2025-05-25,0.55,1,45,3
Albany 3 Bedroom Apt. Sleeps 6,309980121,Ron,SIXTH WARD,42.65623,-73.7641152,entire home/apt,93.0,12,2024-02-29,0.6,1,0,0
"Spacious Apartment Downtown Albany, NY",531209536,Amar,THIRD WARD,42.65762,-73.75116,entire home/apt,90.0,35,2025-06-01,1.75,2,191,24
Elegant Albany Retreat | Mins to D/T & UAlbany,31318080,Cindy,EIGHTH WARD,42.6555,-73.81066,entire home/apt,163.0,55,2025-05-26,3.44,1,223,45
çº½çº¦å·é¦åºçæ¸©é¦¨å°å±,182509542,Yan,NINTH WARD,42.6558992,-73.7965699,private room,24.0,0,2025-05-18,1.255,1,60,0
Heart of Albany - Downtown Near Everything,42708277,Rodney,SIXTH WARD,42.65539,-73.76416,entire home/apt,70.0,41,2025-05-09,2.11,7,33,29
